Country,Short,GDP-pc,Life-exp,Cases-per-m,Deaths-per-m
Angola,ANG,4115,52.4,2031.86,54.05
Argentina,ARG,14044,76.3,117863.4,2583.61
Australia,AUS,59655,82.8,7160.02,72.03
Bangladesh,BAN,1734,71.8,9635.16,171.09
Belgium,BEL,49272,81.1,123211.06,2275.42
Brazil,BRA,10224,75,103674.2,2887.7
Bulgaria,BUL,9227,74.5,90653.58,3594.45
Canada,CAN,48466,82.2,46250.15,776.9
Chile,CHI,15087,80.5,90194.67,1997.78
China,CHN,10088,76.1,78.89,3.47
Colombia,COL,6581,74.8,99623.4,2533.46
Denmark,DEN,63830,80.6,68571.65,469.7
Dominican,DOM,7830,73.9,36141.99,386.44
Egypt,EGY,2501,70.9,3361.74,190.02
Finland,FIN,52422,81.1,29434.06,215.21
France,FRA,44934,82.4,101516.78,1672.62
Germany,GER,50842,81,57650.22,1161.55
Ghana,GHA,1780,62.4,4286.36,39.06
Greece,GRE,21144,81,73218.66,1520.58
HK,HK,48829,84.3,1632,28
Iceland,ICE,84675,82.7,42328,99
India,IND,2135,68.3,25142.72,337.23
Indonesia,INDO,4052,69.1,15697.32,530.42
Iran,IRI,5086,75.5,72220.65,1535.32
Ireland,IRE,80641,81.4,95017.41,1111.42
Italy,ITA,35914,82.7,79735.44,2195.63
Japan,JPN,40849,83.7,13651.85,144.98
Jordan,JOR,5838,74.1,86713.27,1101.6
Latvia,LAT,18472,74.6,121373.82,1829.27
Lebanon,LEB,11775,74.9,94260.79,1246.55
Libya,LIB,6700,72.7,53232.15,768.28
Malaysia,MAS,11237,75,78444.73,916.78
Malta,MAL,31848,81.7,85597,1043
Mexico,MEX,9723,76.7,29995.19,2271.08
Mozambique,MOZ,472,57.6,4984.13,63.69
Holland,NED,55185,81.9,124687.65,1045.36
NZ,NZL,44639,81.6,1554.47,6.51
Nigeria,NIG,2108,54.5,1058.48,14.46
Norway,NOR,82711,81.8,40533.64,172.4
Pakistan,PAK,1629,66.4,5897.22,131.82
Peru,PER,7199,75.5,67902.49,6165.34
Romania,ROM,12575,75,88165.39,2622.11
Russia,RUS,11947,70.5,59926.31,1677.88
S Arabia,SAU,22650,74.5,16017.8,256.91
Singapore,SGP,61767,83.1,38304.04,87.14
Slovakia,SLO,20508,76.7,95162.39,2425.53
S Africa,SAF,6459,62.9,49930.94,1525.52
S Korea,KOR,32775,82.3,7381.43,57.63
Spain,ESP,32559,82.8,106746.79,1858.75
Sweden,SWE,58345,82.4,114392.03,1463.91
Switzerland,SUI,86835,83.4,103552.63,1314.78
Taiwan,TW,25977,77.9,689,35
Tanzania,TAN,1110,61.8,451.58,12.5
Thailand,THA,6992,74.9,28263.67,282.42
Turkey,TUR,11114,75.8,98689.31,864.53
Ukraine,UKR,2821,71.3,72515.59,1727.09
UK ,UKR,44177,81.2,138513.5,2115.29
USA,USA,62152,79.3,140980.46,2287.51
Zambia,ZAM,1476,61.8,11752.63,205.14
