Country,GDP_pc,Life_exp,Cases_pm,Deaths_pm
Albania,5319,77.8,66359.65,1035.32
Angola,4115,52.4,2031.86,54.05
Argentina,14044,76.3,117863.4,2583.61
Australia,59655,82.8,7160.02,72.03
Austria,53764,81.5,99536.82,1295.7
Bangladesh,1734,71.8,9635.16,171.09
Belgium,49272,81.1,123211.06,2275.42
Brazil,10224,75,103674.2,2887.7
Bulgaria,9227,74.5,90653.58,3594.45
Canada,48466,82.2,46250.15,776.9
Chile,15087,80.5,90194.67,1997.78
China,10088,76.1,78.89,3.47
Colombia,6581,74.8,99623.4,2533.46
Croatia,14788,78,123176.17,2335.59
Czech Rep,23750,78.8,170211.9,2907.48
Denmark,63830,80.6,68571.65,469.7
Dominican,7830,73.9,36141.99,386.44
Egypt,2501,70.9,3361.74,190.02
El Salvador,4596,73.5,18024.5,570.54
Estonia,23610,77.6,154207.52,1213.64
Finland,52422,81.1,29434.06,215.21
France,44934,82.4,101516.78,1672.62
Germany,50842,81,57650.22,1161.55
Ghana,1780,62.4,4286.36,39.06
Greece,21144,81,73218.66,1520.58
HK,48829,84.3,1632,28
Hungary,16723,75.9,91316.68,3191.83
Iceland,84675,82.7,42328,99
India,2135,68.3,25142.72,337.23
Indon,4052,69.1,15697.32,530.42
Iran,5086,75.5,72220.65,1535.32
Iraq,5601,68.9,52476.8,593.85
Ireland,80641,81.4,95017.41,1111.42
Italy,35914,82.7,79735.44,2195.63
Japan,40849,83.7,13651.85,144.98
Jordan,5838,74.1,86713.27,1101.6
Latvia,18472,74.6,121373.82,1829.27
Lebanon,11775,74.9,94260.79,1246.55
Libya,6700,72.7,53232.15,768.28
Lithuania,19534,73.6,153088.89,2192.8
Luxembourg,120061,82,130201,1330
Malaysia,11237,75,78444.73,916.78
Malta,31848,81.7,85597,1043
Mexico,9723,76.7,29995.19,2271.08
Morocco,3435,74.3,25977.41,403.41
Mozambique,472,57.6,4984.13,63.69
Holland,55185,81.9,124687.65,1045.36
NZ,44639,81.6,1554.47,6.51
Nigeria,2108,54.5,1058.48,14.46
Norway,82711,81.8,40533.64,172.4
Pakistan,1629,66.4,5897.22,131.82
Peru,7199,75.5,67902.49,6165.34
Philippines,3095,68.5,25926.87,410.95
Poland,16180,77.5,81754.54,2047.81
Portugal,24237,81.1,106870.2,1772.54
Romania,12575,75,88165.39,2622.11
Russia,11947,70.5,59926.31,1677.88
S Arabia,22650,74.5,16017.8,256.91
Serbia,6895,75.6,819.21,15.49
Singapore,61767,83.1,38304.04,87.14
Slovakia,20508,76.7,95162.39,2425.53
Slovenia,27536,80.8,170324.88,2313.28
S Africa,6459,62.9,49930.94,1525.52
S Korea,32775,82.3,7381.43,57.63
Spain,32559,82.8,106746.79,1858.75
Sweden,58345,82.4,114392.03,1463.91
Switzerland,86835,83.4,103552.63,1314.78
Taiwan,25977,77.9,689,35
Tanzania,1110,61.8,451.58,12.5
Thailand,6992,74.9,28263.67,282.42
Trinidad ,16083,71.2,42664.75,1270.28
Turkey,11114,75.8,98689.31,864.53
Ukraine,2821,71.3,72515.59,1727.09
UK ,44177,81.2,138513.5,2115.29
USA,62152,79.3,140980.46,2287.51
Uruguay,18075,77,114239.31,1758.08
Vietnam,2546,76,10042.34,233.57
Zambia,1476,61.8,11752.63,205.14
